LimitedTime,Reduction,ActualLimitReduction,DischargeLimit,PriceTime,Status,BaselinePrice,Price,Charge,Discharge,Thermal,Renewable,SOC,TerminalSOC,Objective,ObjectiveChange
2,1.0e-6,9.999999974752427e-7,89.999999,3,OPTIMAL,-0.0,-0.0,200.0,0.0,0.0,500.0,720.0,0.0,19448.889080444445,0.00019155555492034182
2,1.0e-6,9.999999974752427e-7,89.999999,4,OPTIMAL,-0.0,-0.0,22.22222222222222,0.0,0.0,322.22222222222223,800.0,0.0,19448.889080444445,0.00019155555492034182
2,1.0e-6,9.999999974752427e-7,89.999999,5,OPTIMAL,50.0,50.0,0.0,100.0,75.0,25.0,400.0,0.0,19448.889080444445,0.00019155555492034182
2,1.0e-6,9.999999974752427e-7,89.999999,6,OPTIMAL,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,19448.889080444445,0.00019155555492034182
2,1.778279410038923e-6,1.7782794117238154e-6,89.99999822172059,1,OPTIMAL,43.1,-0.0,99.99999802413399,0.0,0.0,199.999998024134,359.99999288688235,0.0,19448.889229528188,0.0003406392970646266
2,1.778279410038923e-6,1.7782794117238154e-6,89.99999822172059,2,OPTIMAL,50.0,50.0,0.0,89.99999822172059,10.000001778279398,100.0,-0.0,0.0,19448.889229528188,0.0003406392970646266
2,1.778279410038923e-6,1.7782794117238154e-6,89.99999822172059,3,OPTIMAL,-0.0,-0.0,200.0,0.0,0.0,500.0,720.0,0.0,19448.889229528188,0.0003406392970646266
2,1.778279410038923e-6,1.7782794117238154e-6,89.99999822172059,4,OPTIMAL,-0.0,-0.0,22.22222222222222,0.0,0.0,322.22222222222223,800.0,0.0,19448.889229528188,0.0003406392970646266
2,1.778279410038923e-6,1.7782794117238154e-6,89.99999822172059,5,OPTIMAL,50.0,50.0,0.0,100.0,75.0,25.0,400.0,0.0,19448.889229528188,0.0003406392970646266
2,1.778279410038923e-6,1.7782794117238154e-6,89.99999822172059,6,OPTIMAL,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,19448.889229528188,0.0003406392970646266
2,3.162277660168379e-6,3.162277664614521e-6,89.99999683772234,1,OPTIMAL,43.1,-0.0,99.99999648635816,0.0,0.0,199.99999648635816,359.9999873508894,0.0,19448.889494640745,0.0006057518548914231
2,3.162277660168379e-6,3.162277664614521e-6,89.99999683772234,2,OPTIMAL,50.0,50.0,0.0,89.99999683772234,10.000003162277665,100.0,-0.0,0.0,19448.889494640745,0.0006057518548914231
2,3.162277660168379e-6,3.162277664614521e-6,89.99999683772234,3,OPTIMAL,-0.0,-0.0,200.0,0.0,0.0,500.0,720.0,0.0,19448.889494640745,0.0006057518548914231
2,3.162277660168379e-6,3.162277664614521e-6,89.99999683772234,4,OPTIMAL,-0.0,-0.0,22.22222222222222,0.0,0.0,322.22222222222223,800.0,0.0,19448.889494640745,0.0006057518548914231
2,3.162277660168379e-6,3.162277664614521e-6,89.99999683772234,5,OPTIMAL,50.0,50.0,0.0,100.0,75.0,25.0,400.0,0.0,19448.889494640745,0.0006057518548914231
2,3.162277660168379e-6,3.162277664614521e-6,89.99999683772234,6,OPTIMAL,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,19448.889494640745,0.0006057518548914231
