sample,time,optimized_price,noise,ess_offer,ess_bid,demand,thermal,renewable,charge,discharge,soc,price,objective_value,ess_surplus,ess_profit,cost_to_serve,actual_cost
7,4,NaN,NaN,53.86125969377973,53.8613,300.0,0.0,322.22,22.22,0.0,200.0,-0.0,4254.56,10549.94,4304.5,30768.0,4739.34
7,5,NaN,NaN,53.86125969377973,53.8613,200.0,100.0,25.0,0.0,75.0,125.0,54.86,4254.56,10549.94,4304.5,30768.0,4739.34
7,6,NaN,NaN,53.86125969377973,53.8613,100.0,100.0,0.0,0.0,-0.0,125.0,54.86,4254.56,10549.94,4304.5,30768.0,4739.34
8,1,NaN,NaN,20.334823629755583,20.3348,100.0,0.0,200.0,100.0,0.0,90.0,43.1,4862.22,9577.78,10190.0,29310.0,4250.0
8,2,NaN,NaN,20.334823629755583,20.3348,200.0,10.0,100.0,0.0,90.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
8,3,NaN,NaN,20.334823629755583,20.3348,300.0,0.0,500.0,200.0,0.0,180.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
8,4,NaN,NaN,20.334823629755583,20.3348,300.0,0.0,322.22,22.22,0.0,200.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
8,5,NaN,NaN,20.334823629755583,20.3348,200.0,0.0,25.0,0.0,175.0,25.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
8,6,NaN,NaN,20.334823629755583,20.3348,100.0,75.0,0.0,0.0,25.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
9,1,NaN,NaN,30.871628870798425,30.8716,100.0,0.0,200.0,100.0,0.0,90.0,43.1,4862.22,9577.78,10190.0,29310.0,4250.0
9,2,NaN,NaN,30.871628870798425,30.8716,200.0,10.0,100.0,0.0,90.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
9,3,NaN,NaN,30.871628870798425,30.8716,300.0,0.0,500.0,200.0,0.0,180.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
9,4,NaN,NaN,30.871628870798425,30.8716,300.0,0.0,322.22,22.22,0.0,200.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
9,5,NaN,NaN,30.871628870798425,30.8716,200.0,0.0,25.0,0.0,175.0,25.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
9,6,NaN,NaN,30.871628870798425,30.8716,100.0,75.0,0.0,0.0,25.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
10,1,NaN,NaN,2.516841951683988,2.5168,100.0,0.0,200.0,100.0,0.0,90.0,43.1,4862.22,9577.78,10190.0,29310.0,4250.0
10,2,NaN,NaN,2.516841951683988,2.5168,200.0,10.0,100.0,0.0,90.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
10,3,NaN,NaN,2.516841951683988,2.5168,300.0,0.0,500.0,200.0,0.0,180.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
10,4,NaN,NaN,2.516841951683988,2.5168,300.0,0.0,322.22,22.22,0.0,200.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
10,5,NaN,NaN,2.516841951683988,2.5168,200.0,0.0,25.0,0.0,175.0,25.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
10,6,NaN,NaN,2.516841951683988,2.5168,100.0,75.0,0.0,0.0,25.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
11,1,NaN,NaN,2.051860574715443,2.0519,100.0,0.0,200.0,100.0,0.0,90.0,43.1,4862.22,9577.78,10190.0,29310.0,4250.0
11,2,NaN,NaN,2.051860574715443,2.0519,200.0,10.0,100.0,0.0,90.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
11,3,NaN,NaN,2.051860574715443,2.0519,300.0,0.0,500.0,200.0,0.0,180.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
11,4,NaN,NaN,2.051860574715443,2.0519,300.0,0.0,322.22,22.22,0.0,200.0,-0.0,4862.22,9577.78,10190.0,29310.0,4250.0
11,5,NaN,NaN,2.051860574715443,2.0519,200.0,0.0,25.0,0.0,175.0,25.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
11,6,NaN,NaN,2.051860574715443,2.0519,100.0,75.0,0.0,0.0,25.0,-0.0,50.0,4862.22,9577.78,10190.0,29310.0,4250.0
12,1,NaN,NaN,50.60943299020301,50.6094,100.0,0.0,200.0,100.0,0.0,90.0,43.1,4661.04,9899.71,4060.75,29793.0,4495.82
12,2,NaN,NaN,50.60943299020301,50.6094,200.0,10.0,100.0,0.0,90.0,-0.0,50.0,4661.04,9899.71,4060.75,29793.0,4495.82
12,3,NaN,NaN,50.60943299020301,50.6094,300.0,0.0,500.0,200.0,0.0,180.0,-0.0,4661.04,9899.71,4060.75,29793.0,4495.82
12,4,NaN,NaN,50.60943299020301,50.6094,300.0,0.0,322.22,22.22,0.0,200.0,-0.0,4661.04,9899.71,4060.75,29793.0,4495.82
